,vid_name,frame,x,y,w,h,gender,age,smile,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
142,sotu,32000,724,158,102,102,female,32.0,0.0,0.001,0.001,0.0,0.0,0.0,0.989,0.009,0.0
143,sotu,32000,1182,308,97,107,female,44.0,0.149,0.001,0.26,0.001,0.0,0.149,0.568,0.021,0.0
144,sotu,33000,495,303,77,77,male,58.0,0.936,0.007,0.0,0.001,0.0,0.936,0.055,0.0,0.0
145,sotu,33000,1160,528,76,76,male,43.0,0.298,0.0,0.022,0.0,0.0,0.298,0.679,0.001,0.0
146,sotu,33000,138,428,76,76,male,49.0,0.001,0.0,0.001,0.0,0.0,0.001,0.996,0.003,0.0
147,sotu,33000,258,458,75,75,male,53.0,0.983,0.0,0.001,0.0,0.0,0.983,0.016,0.0,0.0
148,sotu,33000,663,144,73,73,male,43.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
149,sotu,33000,1214,130,65,80,male,41.0,0.0,0.0,0.001,0.0,0.0,0.0,0.998,0.0,0.0
150,sotu,33000,946,179,71,71,female,39.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
151,sotu,33000,847,558,70,70,female,49.0,0.922,0.0,0.0,0.0,0.0,0.922,0.069,0.008,0.0
152,sotu,33000,792,0,70,69,male,43.0,0.77,0.0,0.001,0.0,0.0,0.77,0.228,0.0,0.0
153,sotu,33000,550,412,68,68,male,57.0,0.439,0.0,0.0,0.0,0.0,0.439,0.56,0.001,0.0
154,sotu,33000,365,114,65,65,male,50.0,0.009,0.0,0.001,0.0,0.0,0.009,0.985,0.004,0.0
155,sotu,34000,565,144,143,143,male,60.0,0.0,0.002,0.001,0.005,0.001,0.0,0.889,0.007,0.095
156,sotu,34000,235,245,127,127,male,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0
157,sotu,34000,970,303,118,118,female,56.0,0.103,0.0,0.001,0.0,0.0,0.103,0.891,0.005,0.0
158,sotu,35000,567,122,146,146,male,67.0,0.008,0.057,0.002,0.008,0.0,0.008,0.902,0.02,0.002
159,sotu,35000,260,236,121,121,male,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.957,0.043,0.0
